Data,Nome do Cliente,Telefone,Veiculo,Placa,Plano,Valor Adesao,Valor Mensalidade,Status Adesao,Status Mensalidade
2025-09-09,Luana Teste 9,+55 41 0737-2349,Moto B,qvF6087,Plano Plus,133.4,50.92,Pago,Pago
2025-09-10,Maria Clara Teste 10,41 6314-8525,Moto A,wcq7671,Plano Plus,90.9,48.13,Pendente,Pendente
2025-09-09,Luana Teste 9,+55 41 0737-2349,Moto B,qvF6087,Plano Plus,133.4,50.92,Pago,Pago
2025-09-10,Maria Clara Teste 10,41 6314-8525,Moto A,wcq7671,Plano Plus,90.9,48.13,Pendente,Pendente
2025-09-08,Bernardo Teste 8,+55 (021) 6304-6908,Carro B,bmj6582,Plano Essencial,93.07,48.33,Pendente,Pendente
2025-09-09,Luana Teste 9,+55 41 0737-2349,Moto B,qvF6087,Plano Plus,133.4,50.92,Pago,Pago
2025-09-10,Maria Clara Teste 10,41 6314-8525,Moto A,wcq7671,Plano Plus,90.9,48.13,Pendente,Pendente
2025-09-08,Bernardo Teste 8,+55 (021) 6304-6908,Carro B,bmj6582,Plano Essencial,93.07,48.33,Pendente,Pendente
2025-09-09,Luana Teste 9,+55 41 0737-2349,Moto B,qvF6087,Plano Plus,133.4,50.92,Pago,Pago
2025-09-10,Maria Clara Teste 10,41 6314-8525,Moto A,wcq7671,Plano Plus,90.9,48.13,Pendente,Pendente
2025-09-08,Bernardo Teste 8,+55 (021) 6304-6908,Carro B,bmj6582,Plano Essencial,93.07,48.33,Pendente,Pendente
2025-09-09,Luana Teste 9,+55 41 0737-2349,Moto B,qvF6087,Plano Plus,133.4,50.92,Pago,Pago
2025-09-10,Maria Clara Teste 10,41 6314-8525,Moto A,wcq7671,Plano Plus,90.9,48.13,Pendente,Pendente
